[0313/155035.480:INFO:CONSOLE(7)] "Another connection wants to delete database 'wawc'. Closing db now to resume the delete request.", source: https://web.whatsapp.com/vendor1~bootstrap_qr.da24f3cea9fbcca5ad69.js (7)
[0313/192644.526:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/192645.921:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/192647.892:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/192649.554:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/192650.947:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/192652.915:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/192654.578:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/192655.961:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204431.282:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204433.065:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204433.821:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204436.304:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204438.109:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204438.868:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204441.337:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204443.135:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204443.885:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204446.357:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204448.168:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204448.904:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204451.395:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204453.200:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204453.940:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204456.418:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204458.249:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204458.974:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204501.438:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204503.273:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204503.994:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204506.466:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204508.297:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204509.009:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204511.493:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204513.318:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204514.031:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204516.517:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204517.253:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204518.349:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204519.057:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204521.546:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204522.279:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204523.380:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204524.070:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204526.555:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204527.301:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204528.406:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204529.098:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204531.578:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204532.322:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204533.423:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204534.113:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204536.603:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204537.349:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
[0313/204538.453:WARNING:dns_config_service_win.cc(512)] Failed to read DnsConfig.
